priorite,id_batiment,difficulty
0,E000194,1.1733396295299612
1,E000195,1.1733396295299612
2,E000196,1.1733396295299612
3,E000225,1.1733396295299612
4,E000258,1.1733396295299612
5,E000259,1.1733396295299612
6,E000364,7.1181879417239875
7,E000302,7.264248779716412
8,E000228,9.104009633548836
9,E000085,11.269977706319981
10,E000146,11.623369944825841
11,E000365,12.111409065322128
12,E000226,12.47067109005009
13,E000229,12.531014226639613
14,E000227,13.17686188159703
15,E000197,14.086141483845694
16,E000275,14.172300818718794
17,E000178,14.546257510948024
18,E000260,14.585840532881209
19,E000317,14.94830244897041
20,E000106,15.370945810954879
21,E000266,15.696764770504888
22,E000127,15.742128418272895
23,E000222,15.82422597354453
24,E000369,16.015995828221598
25,E000301,16.09802266769747
26,E000327,16.28359736016353
27,E000367,16.345736284136255
28,E000368,17.010175902968594
29,E000360,17.25059166206157
30,E000107,17.34630717209196
31,E000358,17.398063232125903
32,E000322,17.50322256484445
33,E000363,17.9235827641687
34,E000267,17.995294196231296
35,E000361,18.239685232768718
36,E000373,19.018755486857426
37,E000372,19.3363031950315
38,E000346,20.207281143929592
39,E000377,20.644705728019826
40,E000112,20.8850694074126
41,E000378,20.903117546020983
42,E000098,20.982112759848818
43,E000370,21.019359363725613
44,E000274,21.160613810546728
45,E000198,21.651293431077427
46,E000315,21.72579951455894
47,E000160,22.037504082638463
48,E000293,22.278998693460746
49,E000359,22.61381253685386
50,E000145,22.636704669555684
51,E000303,22.729846195040295
52,E000375,22.85383596883034
53,E000268,23.723220766800253
54,E000188,23.902639461167087
55,E000128,24.035261930941502
56,E000161,24.18956394996198
57,E000108,24.686562478835356
58,E000374,24.80380996471157
59,E000109,25.385079195601556
60,E000111,25.74856091413169
61,E000380,26.117407480004964
62,E000376,26.223625563287836
63,E000185,26.28250944368038
64,E000067,27.09949424694047
65,E000316,27.97885093279202
66,E000257,29.461039299215503
67,E000379,30.32413940660697
68,E000381,30.682552876752446
69,E000144,33.301190298718694
70,E000371,34.443374600803246
71,E000183,34.55128776802739
72,E000252,34.69359346255386
73,E000366,34.98281652436786
74,E000325,38.58464684664409
75,E000174,40.08395038550009
76,E000175,44.462323526050625
77,E000326,45.73680819597385
78,E000184,48.74226852965489
79,E000176,50.11153002168707
80,E000110,50.48382144739207
81,E000177,52.99841640617192
82,E000129,53.73972301100922
83,E000193,54.112880304250574
84,E000003,54.541389487204796
